player_id,name,role,ipl_team,nationality,franchise_owner
anshul-kamboj,Anshul Kamboj,AR,CSK,IND,
blessing-muzarabani,Blessing Muzarabani,BOWL,KKR,OVS,
kagiso-rabada,Kagiso Rabada,BOWL,GT,OVS,Darshil
rachin-ravindra,Rachin Ravindra,AR,KKR,OVS,Darshil
mohammed-siraj,Mohammed Siraj,BOWL,GT,IND,Darshil
nitish-rana,Nitish Rana,AR,DC,IND,Darshil
pathum-nissanka,Pathum Nissanka,BAT,DC,OVS,Darshil
phil-salt,Phil Salt,WK,RCB,OVS,Darshil
ravi-bishnoi,Ravi Bishnoi,BOWL,RR,IND,Darshil
rishabh-pant,Rishabh Pant,WK,LSG,IND,Darshil
shardul-thakur,Shardul Thakur,AR,MI,IND,Darshil
travis-head,Travis Head,BAT,SRH,OVS,Darshil
venkatesh-iyer,Venkatesh Iyer,AR,RCB,IND,Darshil
xavier-bartlett,Xavier Bartlett,BOWL,PBKS,OVS,
yashasvi-jaiswal,Yashasvi Jaiswal,BAT,RR,IND,Darshil
auqib-nabi,Auqib Nabi,AR,DC,IND,Bhavya
david-miller,David Miller,BAT,DC,OVS,Bhavya
dhruv-jurel,Dhruv Jurel,WK,RR,IND,Bhavya
jacob-duffy,Jacob Duffy,BOWL,RCB,OVS,
mohammed-shami,Mohammed Shami,BOWL,LSG,IND,Bhavya
naman-dhir,Naman Dhir,AR,MI,IND,Bhavya
nandre-burger,Nandre Burger,BOWL,RR,OVS,
rinku-singh,Rinku Singh,BAT,KKR,IND,Bhavya
romario-shepherd,Romario Shepherd,AR,RCB,OVS,Bhavya
shimron-hetmyer,Shimron Hetmyer,BAT,RR,OVS,Bhavya
shivam-dube,Shivam Dube,AR,CSK,IND,Bhavya
shubman-gill,Shubman Gill,BAT,GT,IND,Bhavya
tristan-stubbs,Tristan Stubbs,BAT,DC,OVS,Bhavya
virat-kohli,Virat Kohli,BAT,RCB,IND,Bhavya
yuzvendra-chahal,Yuzvendra Chahal,BOWL,PBKS,IND,Bhavya
aiden-markram,Aiden Markram,BAT,LSG,OVS,Prajin
